table lamp;Prediction;Difference;Specific Ratio;Average Ratio;Weighted Avg Ratio;Caratterizzante
table lamp.png;58.5830748081;0.0;-1;-1;-1;1.0
(0, 0, 0, 255);64.1853868961;-5.60231208801;0.912717;0.953112;1.01462895382;0.899557107342
(113, 113, 113, 255);57.0455431938;1.5375316143;1.02695;0.885884;1.00573155443;1.02110025186
(142, 142, 142, 255);44.4229215384;14.1601532698;1.31876;0.310473;1.09063801673;1.20916174956
(170, 170, 170, 255);28.0134290457;30.5696457624;2.09125;0.143398;1.47068817227;1.42195316709
(198, 198, 198, 255);74.2726147175;-15.6895399094;0.788757;0.301595;1.17249603115;0.672716463738
(227, 227, 227, 255);56.1234712601;2.45960354805;1.04382;0.833949;1.00338315771;1.04030539391
(255, 255, 255, 255);78.2138168812;-19.6307420731;0.749012;0.730237;1.43964560367;0.520275137633
(28, 28, 28, 255);51.5179216862;7.06515312195;1.13714;1.16748;1.02231375156;1.11231965359
(57, 57, 57, 255);58.2142949104;0.36877989769;1.00633;0.773346;1.00241469237;1.00391076519
(85, 85, 85, 255);42.0065104961;16.576564312;1.39462;0.311339;1.13574917005;1.22792868779
